"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc855f9""}",Tweet_id:1235955987586125827,"created_at:""Fri Mar 06 15:50:45 +0000 2020""","rawtext:""Ethereum Whales Accumulate in Anticipation of ETH 2.0\nhttps://t.co/MdeoG9kdut\n\n#Anticipation #Ethereum""","text:""Ethereum Whales Accumulate in Anticipation of ETH 2.0 ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85850""}",Tweet_id:1236484511388463106,"created_at:""Sun Mar 08 02:50:54 +0000 2020""","rawtext:""I'm so #excited to announce my first book"," a #Romance available on #amazon #Kindle now! https://t.co/pUhbZG0A8R\n\nFollow me at\nhttps://t.co/wtAdb6heCZ\nhttps://t.co/W3g1emWhc4\nhttps://t.co/VsyN4ZaosF https://t.co/O4gkuUwEz5""","text:""I am so excited to announce my first book"," a Romance available on amazon Kindle now! Follow me at""}",,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85852""}",Tweet_id:1236485100063334404,"created_at:""Sun Mar 08 02:53:15 +0000 2020""","rawtext:""Life motto...\n\n#instagood #love #happy #funny #happydays #happyday #smile #fun #goodday #instahappy #goodmood #sohappy #happier #excited #feelgood #smiling #funtimes #captionplus #feliz #laughing #feelgoodphoto_ https://t.co/rhvvrTwtJQ""","text:""Life motto.. ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85851""}",Tweet_id:1236484761352204288,"created_at:""Sun Mar 08 02:51:54 +0000 2020""","rawtext:""#Thoughts | #DidYouKnow 203 years ago", in 1817," the @NYSE was founded... #interesting #NYSE #StockMarket #finance #business https://t.co/1YURDnURMU""","text:""Thoughts | DidYouKnow 203 years ago", in 1817," the was founded.. ""}",,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8585a""}",Tweet_id:1236488284810776576,"created_at:""Sun Mar 08 03:05:54 +0000 2020""","rawtext:""President George W. Bush was once a cheerleader! #interesting #didyouknow""","text:""President George W. Bush was once a cheerleader! ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8585d""}",Tweet_id:1236489058877984768,"created_at:""Sun Mar 08 03:08:59 +0000 2020""","rawtext:""MRT @noveliciouss #lifecoaching #Perfection is less #interesting. Anne Carson #writing https://t.co/rqWSQqILV5""","text:""MRT lifecoaching Perfection is less interesting. Anne Carson ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8585f""}",Tweet_id:1236489637646020609,"created_at:""Sun Mar 08 03:11:17 +0000 2020""","rawtext:""@photowhitehouse @realDonaldTrump #interesting William""","text:""interesting William""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8585e""}",Tweet_id:1236489485245796352,"created_at:""Sun Mar 08 03:10:40 +0000 2020""","rawtext:""I finally got a @MaskedSingerFOX right!! I struggled to remember his name", but I figured out Tom Bergeron from the clues! Also," does Nicole seriously think Brad Paisley sings like that? #itsnothim #finallyright #soexcited""","text:""I finally got a right!! I struggled to remember his name", but I figured out Tom Bergeron from the clues! Also," does Nicole seriously think Brad Paisley sings like that? ""}",,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85862""}",Tweet_id:1236492594231881729,"created_at:""Sun Mar 08 03:23:02 +0000 2020""","rawtext:""#Interesting #Reading at @ExpKitchens\n25 Small Eclectic Kitchens Full of Color and Personality\nhttps://t.co/Ia42lDpW5x\n#kitchencabinets #kitchendesign #kitchen #interiordesign #cabinets #kitchendecor #kitchenremodel #kitchenrenovation #kitchenisland #kitchenideas #kitchendesigner https://t.co/M4e81VKI9L""","text:""Interesting Reading at 25 Small Eclectic Kitchens Full of Color and Personality ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85866""}",Tweet_id:1236495833652252673,"created_at:""Sun Mar 08 03:35:54 +0000 2020""","rawtext:""Butterflies taste with their feet.  #interesting #didyouknow""","text:""Butterflies taste with their feet. ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85869""}",Tweet_id:1236496858073239553,"created_at:""Sun Mar 08 03:39:58 +0000 2020""","rawtext:""No birds to call hmm #interesting #life #innit""","text:""No birds to call hmm ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8586a""}",Tweet_id:1236497012834492416,"created_at:""Sun Mar 08 03:40:35 +0000 2020""","rawtext:""Me looking at #ads #adverts #sponsored on @instagram and @Facebook for things I__ #supposedly #interested in #adpreferences https://t.co/CvCRjJrnmd""","text:""Me looking at ads adverts sponsored on and for things I am supposedly interested in ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85865""}",Tweet_id:1236495514016907266,"created_at:""Sun Mar 08 03:34:38 +0000 2020""","rawtext:""#Interesting \""Democracy and socialism have nothing in common but one word", equality. But notice the difference: while democracy seeks equality in liberty," socialism seeks equality in restraint and servitude.\"" Alexis de Tocqueville #socialism #socalismkills""","text:""Interesting \""Democracy and socialism have nothing in common but one word", equality. But notice the difference: while democracy seeks equality in liberty," socialism seeks equality in restraint and servitude.\"" Alexis de Tocqueville ""}",,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85875""}",Tweet_id:1236503377648877568,"created_at:""Sun Mar 08 04:05:53 +0000 2020""","rawtext:""More than 2","500 left handed people a year are killed from using products made for right handed people. #interesting #didyouknow""","text:""More than 2","500 left handed people a year are killed from using products made for right handed people. ""}",,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85877""}",Tweet_id:1236504229906386944,"created_at:""Sun Mar 08 04:09:16 +0000 2020""","rawtext:""#perfect #interesting Light Aluminum Alloy and Rubber Slingshot https://t.co/4PwrwPHLIy""","text:""perfect interesting Light Aluminum Alloy and Rubber Slingshot""}",,,,,,,,,,
